date, pm25, pm10, o3, no2, so2, co
8/29/2014,62,26,27,40,6,5
8/30/2014,54,23,29,32,6,4
8/31/2014,62,26,26,32,6,4
9/1/2014,76,33,35,45,6,5
9/2/2014,52,23,17,37,5,4
9/3/2014,22,7,23,27,5,3
9/4/2014,38,16,26,26,6,4
9/5/2014,68,28,31,37,7,5
9/6/2014,84,37,48,35,7,5
9/7/2014,102,48,47,27,6,6
9/8/2014,114,54,43,22,6,6
9/9/2014,117,56,43,19,8,6
9/10/2014,64,29,35,36,6,5
9/11/2014,84,40,32,35,7,5
9/12/2014,87,42,16,50,6,6
9/13/2014,56,23,27,33,6,4
9/14/2014,33,16,27,22,6,3
9/15/2014,82,40,37,29,6,5
9/16/2014,62,37,26,32,7,4
9/17/2014,81,53,15,42,7,5
9/18/2014,49,23,16,34,6,4
9/19/2014,62,31,22,46,6,5
9/20/2014,72,32,29,46,6,5
9/21/2014,75,32,20,40,7,5
9/22/2014,74,30,32,40,6,5
9/23/2014,62,26,22,38,6,4
9/24/2014,48,19,21,30,6,4
9/25/2014,47,22,22,41,7,5
9/26/2014,60,28,15,36,7,5
9/27/2014,74,34,28,31,8,5
9/28/2014,91,43,18,32,7,6
9/29/2014,101,50,8,44,6,7
9/30/2014,52,24,16,24,6,5
3/31/2020, ,65,37,22,5,4
12/31/2019, ,38,3,43,4,8
12/31/2018, ,40,19,32,5,7
7/28/2017, ,18,26,22,6,4
8/5/2017, ,43,43,46,8,6
8/26/2017, ,26,21,30,5,5
9/22/2017, ,75,36,28,7,6
1/3/2016, ,47,18,30,8,6
12/31/2014, ,52,15,14,8,4
7/1/2014, ,48,57,35,8,7
7/2/2014, ,70,25,25,6,4
7/3/2014, ,25,40,27,7,4
7/4/2014, ,19,36,46,8,5
7/5/2014, ,35,37,30,6,4
7/6/2014, ,27,37,30,6,4
7/7/2014, ,35,61,35,7,4
7/8/2014, ,32,29,41,7,5
7/9/2014, ,22,13,32,6,5
7/10/2014, ,33,34,24,6,4
7/11/2014, ,59,52,27,10,8
7/12/2014, ,67,53,25,9,6
7/13/2014, ,57,39,19,8,5
7/14/2014, ,70,56,24,8,6
7/15/2014, ,79,53,31,7,7
7/16/2014, ,55,47,30,8,5
7/17/2014, ,24,26,26,7,3
7/18/2014, ,16,32,30,7,3
7/19/2014, ,47,25,29,8,4
7/20/2014, ,56,46,22,6,3
7/21/2014, ,58,30,30,9,4
7/22/2014, ,19,7,19,7,3
7/23/2014, ,18,15,33,7,4
7/24/2014, ,12,21,39,5,4
7/25/2014, ,18,14,31,6,4
7/26/2014, ,32,44,17,6,4
7/27/2014, ,72,67,21,6,7
7/28/2014, ,66,56,38,6,7
7/29/2014, ,41,47,35,7,6
7/30/2014, ,30,30,30,6,4
7/31/2014, ,29,21,36,7,5
8/1/2014, ,18,21,32,6,4
4/1/2014, ,68,31,72,11,7
4/2/2014, ,63,27,55,9,6
4/3/2014, ,61,27,23,6,3
4/4/2014, ,22,28,31,6,4
4/5/2014, ,45,34,18,6,3
4/6/2014, ,38,29,42,11,6
4/7/2014, ,63,26,54,10,5
4/8/2014, ,52,16,63,8,7
4/9/2014, ,65,25,60,8,7
4/10/2014, ,58,29,57,9,8
4/11/2014, ,64,10,67,9,9
4/12/2014, ,69,41,48,9,8
4/13/2014, ,69,34,62,10,8
4/14/2014, ,66,19,55,10,8
4/15/2014, ,69,18,60,14,11
4/16/2014, ,113,26,64,9,10
4/17/2014, ,79,30,42,7,6
4/18/2014, ,64,32,32,5,5
4/19/2014, ,48,42,22,7,4
4/20/2014, ,42,35,37,9,6
4/21/2014, ,58,40,51,10,7
4/22/2014, ,61,47,58,14,9
4/23/2014, ,73,46,54,12,10
4/24/2014, ,93,41,80,10,8
4/25/2014, ,65,33,72,10,7
4/26/2014, ,56,30,25,6,4
4/27/2014, ,29,25,25,5,4
4/28/2014, ,13,38,24,6,4
4/29/2014, ,14,31,29,7,4
4/30/2014, ,27,34,39,9,5
5/1/2014, ,52,44,40,10,7
5/2/2014, ,71,29,21,6,3
5/3/2014, ,28,36,35,9,5
5/4/2014, ,40,35,15,7,3
5/5/2014, ,37,29,26,9,4
5/6/2014, ,40,37,35,10,5
5/7/2014, ,47,32,27,6,4
5/8/2014, ,36,32,48,8,7
5/9/2014, ,46,34,53,7,6
5/10/2014, ,39,42,21,6,4
5/11/2014, ,32,42,22,9,6
5/12/2014, ,39,51,36,15,10
5/13/2014, ,77,61,32,15,7
5/14/2014, ,71,42,28,8,5
5/15/2014, ,49,35,41,12,7
5/16/2014, ,53,34,56,11,6
5/17/2014, ,56,52,42,9,6
5/18/2014, ,56,34,53,11,6
5/19/2014, ,60,40,50,9,5
5/20/2014, ,66,33,29,7,4
5/21/2014, ,59,38,49,9,5
5/22/2014, ,46,38,46,10,7
5/23/2014, ,65,28,42,9,6
5/24/2014, ,63,33,25,9,5
5/25/2014, ,53,38,31,9,5
5/26/2014, ,74,57,34,14,6
5/27/2014, ,114,76,42,11,8
5/28/2014, ,123,59,43,12,8
5/29/2014, ,103,52,60,12,6
5/30/2014, ,69,82,58,13,7
5/31/2014, ,91,47,33,9,5
6/1/2014, ,79,14,60,7,6
6/2/2014, ,77,31,27,6,4
6/3/2014, ,30,38,18,5,3
6/4/2014, ,23,39,21,6,3
6/5/2014, ,21,42,28,6,3
6/6/2014, ,30,38,43,7,5
6/7/2014, ,39,40,21,6,3
6/8/2014, ,35,34,35,7,4
6/9/2014, ,44,34,39,6,4
6/10/2014, ,35,17,34,6,4
6/11/2014, ,22,31,30,5,4
6/12/2014, ,27,40,32,6,5
6/13/2014, ,58,45,30,8,5
6/14/2014, ,42,54,23,8,4
6/15/2014, ,44,32,35,8,4
6/16/2014, ,37,66,41,9,6
6/17/2014, ,68,70,29,7,5
6/18/2014, ,51,36,25,7,5
6/19/2014, ,53,41,30,6,6
6/20/2014, ,56,34,26,6,4
6/21/2014, ,27,38,23,6,4
6/22/2014, ,22,19,40,6,6
6/23/2014, ,33,35,32,6,5
6/24/2014, ,45,44,38,8,6
6/25/2014, ,55,45,32,7,5
6/26/2014, ,52,29,27,6,4
6/27/2014, ,37,47,21,7,4
6/28/2014, ,40,47,24,7,5
6/29/2014, ,35,42,35,9,5
6/30/2014, ,36,68,37,8,6
1/1/2014, ,85,13,37,10,5
1/2/2014, ,53,3,62,11,11
1/3/2014, ,57,8,37,8,6
1/4/2014, ,49,10,38,7,6
1/5/2014, ,43,5,58,11,10
1/6/2014, ,61,2,70,14,12
1/7/2014, ,74,19,39,10,7
1/8/2014, ,65,21,18,5,3
1/9/2014, ,21,11,39,8,5
1/10/2014, ,33,8,51,10,8
1/11/2014, ,49,22,38,12,7
1/12/2014, ,57,17,28,6,4
1/13/2014, ,30,11,42,9,5
1/14/2014, ,42,12,44,10,7
1/15/2014, ,56,3,66,15,12
1/16/2014, ,80,6,64,12,14
1/17/2014, ,94,17,29,9,6
1/18/2014, ,57,10,35,11,6
1/19/2014, ,50,12,42,8,7
1/20/2014, ,60,19,27,15,7
1/21/2014, ,78,10,55,14,12
1/22/2014, ,88,6,65,11,11
1/23/2014, ,57,2,72,12,12
1/24/2014, ,65,13,52,9,10
1/25/2014, ,53,18,28,7,4
1/26/2014, ,36,5,58,11,8
1/27/2014, ,40,14,40,7,4
1/28/2014, ,32,4,66,10,9
1/29/2014, ,47,14,42,8,5
1/30/2014, ,41,17,38,7,5
1/31/2014, ,25,5,45,7,6
2/1/2014, ,27,6,39,5,7
2/2/2014, ,23,20,19,5,3
2/3/2014, ,57,20,18,7,3
2/4/2014, ,36,14,35,10,5
2/5/2014, ,46,7,50,10,8
2/6/2014, ,51,17,33,6,4
2/7/2014, ,19,18,25,5,4
2/8/2014, ,10,20,23,4,4
2/9/2014, ,20,19,31,6,4
2/10/2014, ,27,17,33,6,4
2/11/2014, ,18,11,41,6,5
2/12/2014, ,23,15,41,7,6
2/13/2014, ,27,17,32,6,4
2/14/2014, ,18,17,43,7,7
2/15/2014, ,34,17,57,11,9
2/16/2014, ,60,17,50,14,9
2/17/2014, ,72,23,28,6,4
2/18/2014, ,23,12,40,6,5
2/19/2014, ,32,20,42,11,8
2/20/2014, ,62,21,44,11,8
2/21/2014, ,65,25,58,13,12
2/22/2014, ,82,23,52,14,12
2/23/2014, ,86,19,66,21,15
2/24/2014, ,119,13,81,18,17
2/25/2014, ,126,20,72,15,14
2/26/2014, ,108,21,68,14,14
2/27/2014, ,96,17,56,13,11
2/28/2014, ,95,13,56,12,10
3/1/2014, ,80,29,26,6,4
3/2/2014, ,30,19,56,15,7
3/3/2014, ,58,26,66,18,11
3/4/2014, ,76,26,20,8,4
3/5/2014, ,38,21,27,9,4
3/6/2014, ,34,24,26,8,4
3/7/2014, ,31,19,41,10,6
3/8/2014, ,43,31,24,8,4
3/9/2014, ,39,20,35,9,4
3/10/2014, ,40,15,54,12,6
3/11/2014, ,50,6,59,9,8
3/12/2014, ,40,27,25,7,4
3/13/2014, ,49,27,40,8,6
3/14/2014, ,60,29,41,13,7
3/15/2014, ,82,32,41,13,7
3/16/2014, ,81,21,45,8,7
3/17/2014, ,62,25,40,8,6
3/18/2014, ,91,14,50,8,7
3/19/2014, ,93,24,39,7,5
3/20/2014, ,58,28,29,6,4
3/21/2014, ,33,26,51,11,6
3/22/2014, ,60,41,43,14,6
3/23/2014, ,73,30,46,11,6
3/24/2014, ,58,27,44,10,4
3/25/2014, ,57,25,56,10,6
3/26/2014, ,63,20,75,13,9
3/27/2014, ,76,34,45,12,8
3/28/2014, ,93,19,49,8,6
3/29/2014, ,53,43,25,7,5
3/30/2014, ,38,22,64,8,8
3/31/2014, ,61,26,77,9,8
12/31/2013, , ,18,34,12,6
